path,relative_path,class,label,source
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5199.png,test/Normal/roiant22_1n_5199.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5201.png,test/Normal/roiant22_1n_5201.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5203.png,test/Normal/roiant22_1n_5203.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5205.png,test/Normal/roiant22_1n_5205.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5207.png,test/Normal/roiant22_1n_5207.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5209.png,test/Normal/roiant22_1n_5209.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5211.png,test/Normal/roiant22_1n_5211.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5213.png,test/Normal/roiant22_1n_5213.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5215.png,test/Normal/roiant22_1n_5215.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5217.png,test/Normal/roiant22_1n_5217.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5219.png,test/Normal/roiant22_1n_5219.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5221.png,test/Normal/roiant22_1n_5221.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5223.png,test/Normal/roiant22_1n_5223.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5225.png,test/Normal/roiant22_1n_5225.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5227.png,test/Normal/roiant22_1n_5227.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5229.png,test/Normal/roiant22_1n_5229.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5231.png,test/Normal/roiant22_1n_5231.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5233.png,test/Normal/roiant22_1n_5233.png,Normal,0,roiant22
/kaggle/input/datasets/manojkumar722004/100x100/100x100/test/Normal/roiant22_1n_5235.png,test/Normal/roiant22_1n_5235.png,Normal,0,roiant22
